row	column	cor	p	group	DiffExp
279	CytolyticScore	ODF4	 2.502419e-01	3.499101e-01	ASPS	0
280	T.cells_CD8	OIP5	 1.558824e-01	5.642820e-01	ASPS	0
281	CytolyticScore	OIP5	 1.235294e-01	6.485421e-01	ASPS	0
282	T.cells_CD8	OTOA	 1.029412e-01	7.044104e-01	ASPS	0
283	CytolyticScore	OTOA	 6.470588e-02	8.118215e-01	ASPS	0
284	T.cells_CD8	P4HB	 5.882353e-03	9.827505e-01	ASPS	0
285	CytolyticScore	P4HB	-1.235294e-01	6.485421e-01	ASPS	0
286	T.cells_CD8	PAGE1	-2.520504e-01	3.463224e-01	ASPS	0
287	CytolyticScore	PAGE1	-1.960392e-01	4.668248e-01	ASPS	0
288	T.cells_CD8	PAGE2	-1.553225e-01	5.656992e-01	ASPS	0
289	CytolyticScore	PAGE2	 5.608870e-02	8.365434e-01	ASPS	0
290	T.cells_CD8	PAGE2B	 1.263997e-01	6.408831e-01	ASPS	0
291	CytolyticScore	PAGE2B	 2.074252e-01	4.408025e-01	ASPS	0
292	T.cells_CD8	PAGE3	NA	NA	ASPS	0
293	CytolyticScore	PAGE3	NA	NA	ASPS	0
294	T.cells_CD8	PAGE4	-4.200840e-01	1.052281e-01	ASPS	0
295	CytolyticScore	PAGE4	-4.200840e-01	1.052281e-01	ASPS	0
296	T.cells_CD8	PAGE5	 1.931957e-01	4.734394e-01	ASPS	0
297	CytolyticScore	PAGE5	 3.651399e-01	1.643285e-01	ASPS	0
298	T.cells_CD8	PASD1	-3.451612e-02	8.990182e-01	ASPS	0
299	CytolyticScore	PASD1	 1.510080e-01	5.766722e-01	ASPS	0
300	T.cells_CD8	PBK	 3.058824e-01	2.492543e-01	ASPS	0
301	CytolyticScore	PBK	 8.529412e-02	7.534651e-01	ASPS	0
302	T.cells_CD8	PIWIL2	-2.352941e-02	9.310736e-01	ASPS	0
303	CytolyticScore	PIWIL2	 1.500000e-01	5.792486e-01	ASPS	0
