row	column	cor	p	group	DiffExp
282	T.cells_CD8	ELF1	 1.676471e-01	5.348568e-01	ASPS	0
283	CytolyticScore	ELF1	 9.117647e-02	7.370050e-01	ASPS	0
284	T.cells_CD8	ELF2	-3.970588e-01	1.278060e-01	ASPS	0
285	CytolyticScore	ELF2	-5.470588e-01	2.830109e-02	ASPS	0
286	T.cells_CD8	ELF3	 9.117647e-02	7.370050e-01	ASPS	0
287	CytolyticScore	ELF3	 1.764706e-01	5.132506e-01	ASPS	0
288	T.cells_CD8	ELF4	-1.235294e-01	6.485421e-01	ASPS	0
289	CytolyticScore	ELF4	-2.705882e-01	3.107606e-01	ASPS	0
290	T.cells_CD8	ELF5	 3.435480e-01	1.926409e-01	ASPS	0
291	CytolyticScore	ELF5	 1.328818e-01	6.237122e-01	ASPS	0
292	T.cells_CD8	ELK1	 6.176471e-02	8.202419e-01	ASPS	0
293	CytolyticScore	ELK1	 4.411765e-02	8.711220e-01	ASPS	0
294	T.cells_CD8	ELK3	 2.176471e-01	4.180868e-01	ASPS	0
295	CytolyticScore	ELK3	 2.294118e-01	3.927205e-01	ASPS	0
296	T.cells_CD8	ELK4	-5.294118e-02	8.456104e-01	ASPS	0
297	CytolyticScore	ELK4	-5.882353e-02	8.286808e-01	ASPS	0
298	T.cells_CD8	ELMSAN1	 4.705882e-02	8.626037e-01	ASPS	0
299	CytolyticScore	ELMSAN1	 9.117647e-02	7.370050e-01	ASPS	0
300	T.cells_CD8	EMX1	-2.264706e-01	3.989829e-01	ASPS	0
301	CytolyticScore	EMX1	-2.176471e-01	4.180868e-01	ASPS	0
302	T.cells_CD8	EMX2	-1.030170e-01	7.042019e-01	ASPS	0
303	CytolyticScore	EMX2	 8.094189e-02	7.657084e-01	ASPS	0
304	T.cells_CD8	EN1	 2.029412e-01	4.509612e-01	ASPS	0
305	CytolyticScore	EN1	 4.058824e-01	1.187917e-01	ASPS	0
306	T.cells_CD8	EN2	 1.481522e-01	5.839839e-01	ASPS	0
307	CytolyticScore	EN2	 1.674120e-01	5.354379e-01	ASPS	0
308	T.cells_CD8	EOMES	 1.852941e-01	4.920571e-01	ASPS	0
309	CytolyticScore	EOMES	 2.941176e-02	9.138956e-01	ASPS	0
310	T.cells_CD8	EPAS1	 2.000000e-01	4.576879e-01	ASPS	0
311	CytolyticScore	EPAS1	 2.823529e-01	2.893498e-01	ASPS	0
312	T.cells_CD8	ERF	 5.705882e-01	2.099070e-02	ASPS	0
313	CytolyticScore	ERF	 4.794118e-01	6.023930e-02	ASPS	0
314	T.cells_CD8	ERG	 2.176471e-01	4.180868e-01	ASPS	0
315	CytolyticScore	ERG	 4.088235e-01	1.158878e-01	ASPS	0
316	T.cells_CD8	ESR1	-5.500000e-01	2.729397e-02	ASPS	0
317	CytolyticScore	ESR1	-5.441176e-01	2.933634e-02	ASPS	0
318	T.cells_CD8	ESR2	-1.735294e-01	5.204075e-01	ASPS	0
319	CytolyticScore	ESR2	-2.647059e-01	3.218044e-01	ASPS	0
320	T.cells_CD8	ESRRA	-3.676471e-01	1.612324e-01	ASPS	0
321	CytolyticScore	ESRRA	-5.617647e-01	2.353702e-02	ASPS	0
322	T.cells_CD8	ESRRB	 0.000000e+00	1.000000e+00	ASPS	0
323	CytolyticScore	ESRRB	 2.000000e-01	4.576879e-01	ASPS	0
324	T.cells_CD8	ESRRG	-3.205882e-01	2.260454e-01	ASPS	0
325	CytolyticScore	ESRRG	-3.205882e-01	2.260454e-01	ASPS	0
326	T.cells_CD8	ESX1	 8.401681e-02	7.570527e-01	ASPS	0
327	CytolyticScore	ESX1	 1.400280e-01	6.049904e-01	ASPS	0
328	T.cells_CD8	ETS1	 1.058824e-01	6.963341e-01	ASPS	0
329	CytolyticScore	ETS1	 2.588235e-01	3.330723e-01	ASPS	0
330	T.cells_CD8	ETS2	-6.764706e-02	8.034203e-01	ASPS	0
331	CytolyticScore	ETS2	 1.352941e-01	6.173674e-01	ASPS	0
332	T.cells_CD8	ETV1	 1.441176e-01	5.943783e-01	ASPS	0
333	CytolyticScore	ETV1	-7.058824e-02	7.950393e-01	ASPS	0
334	T.cells_CD8	ETV2	 2.235294e-01	4.052983e-01	ASPS	0
335	CytolyticScore	ETV2	 1.705882e-01	5.276098e-01	ASPS	0
336	T.cells_CD8	ETV3	-7.941176e-02	7.700253e-01	ASPS	0
337	CytolyticScore	ETV3	-9.705882e-02	7.206513e-01	ASPS	0
338	T.cells_CD8	ETV3L	 8.444676e-02	7.558446e-01	ASPS	0
339	CytolyticScore	ETV3L	 1.955609e-01	4.679342e-01	ASPS	0
340	T.cells_CD8	ETV4	-5.588235e-02	8.371372e-01	ASPS	0
341	CytolyticScore	ETV4	-8.823529e-02	7.452221e-01	ASPS	0
342	T.cells_CD8	ETV5	 7.352941e-02	7.866792e-01	ASPS	0
343	CytolyticScore	ETV5	-7.647059e-02	7.783410e-01	ASPS	0
